# %ECSV 0.9
# ---
# datatype:
# - {name: Assoc, datatype: string, description: Association short name (1)}
# - {name: Main, datatype: string, description: Main designation}
# - {name: SpT, datatype: string, description: Spectral Type}
# - {name: RAh, unit: h, datatype: int64, description: Hour of Right Ascension (J2000)}
# - {name: RAm, unit: min, datatype: int64, description: Minute of Right Ascension (J2000)}
# - {name: RAs, unit: s, datatype: float64, description: Second of Right Ascension (J2000)}
# - {name: DE-, datatype: string, description: Sign of the Declination (J2000)}
# - {name: DEd, unit: deg, datatype: int64, description: Degree of Declination (J2000)}
# - {name: DEm, unit: arcmin, datatype: int64, description: Arcminute of Declination (J2000)}
# - {name: DEs, unit: arcsec, datatype: float64, description: Arcsecond of Declination (J2000)}
# - {name: pmRA, unit: mas / yr, datatype: float64, description: 'Proper motion in RA, pm*cos(dec)'}
# - {name: e_pmRA, unit: mas / yr, datatype: float64, description: Uncertainty on pmRA}
# - {name: pmDE, unit: mas / yr, datatype: float64, description: Proper motion in DE}
# - {name: e_pmDE, unit: mas / yr, datatype: float64, description: Uncertainty on pmDE}
# - {name: RVel, unit: km / s, datatype: float64, description: Radial velocity}
# - {name: e_RVel, unit: km / s, datatype: float64, description: Uncertainty on RVel}
# - {name: Dist, unit: pc, datatype: float64, description: Trigonometric distance}
# - {name: e_Dist, unit: pc, datatype: float64, description: Uncertainty on Dist}
# - {name: Comp, datatype: string, description: Companion Flag (2)}
# - {name: r_SpT, datatype: string, description: 'Reference for spectral type, SpT (3)'}
# - {name: r_pmX, datatype: string, description: 'Reference for proper motion, pmRA/DE (3)'}
# - {name: r_RVel, datatype: string, description: 'Reference for radial velocity, RVel (3)'}
# - {name: r_Dist, datatype: string, description: 'Reference for trigonometric distance, Dist (3)'}
# - {name: dstArcSec, datatype: float64}
# - {name: Tmag, datatype: float64}
# - {name: GAIA, datatype: object}
# - {name: Teff, datatype: object}
# - {name: MatchID, datatype: int64}
# - {name: MatchRA, datatype: float64}
# - {name: MatchDEC, datatype: float64}
# - {name: ra, datatype: float64}
# - {name: dec, datatype: float64}
# schema: astropy-2.0
Assoc Main SpT RAh RAm RAs DE- DEd DEm DEs pmRA e_pmRA pmDE e_pmDE RVel e_RVel Dist e_Dist Comp r_SpT r_pmX r_RVel r_Dist dstArcSec Tmag GAIA Teff MatchID MatchRA MatchDEC ra dec
ABDMG "HD 25457" F5V 4 2 36.75 - 0 16 7.9 149.0 0.4 -253.0 0.4 17.6 0.2 18.8 0.1 "" 7 16 27 16 0.328218262938 5.178 None 6221 9150015 60.653177 -0.268936 60.653125 -0.268861111111
ABDMG "HD 25953" F5V 4 6 41.57 "" 1 41 0.7 36.57 0.06 -94.59 0.04 16.0 1.0 57.0 1.0 "" 11 5 20 5 1.44486041469 7.344 3258856085664548608 6291.88 464781371 61.673074 1.683906 61.6732083333 1.68352777778
ABDMG "LP 776-25" M3Ve 4 52 24.54 - 16 49 25.1 123.0 1.0 -213.0 1.0 27.0 2.0 15.8 0.1 "" 14 5 15 5 3.56544702263 9.628 2980822030590414976 3430 246897668 73.1017 -16.8228 73.10225 -16.8236388889
ABDMG "CD-56 1032 A" M3Ve 4 53 31.43 - 55 51 36.0 126.8 0.1 75.9 0.1 32.0 4.0 11.0 0.0 "" 15 5 28 5 2.21703307069 8.591 4776266794388393472 3509 220433363 73.38 -55.8603 73.3809583333 -55.86
ABDMG "CD-56 1032 B" M3Ve 4 53 30.81 - 55 51 30.6 130.0 3.0 73.0 3.0 "" "" "" "" [COMPANION] 15 29 - - 2.60814481965 9.38 4776266794389198720 3267 220433364 73.3772 -55.8588 73.378375 -55.8585
ABDMG "HD 35650 AB" K6e 5 24 30.23 - 38 58 11.6 43.14 0.07 -57.31 0.09 31.9 0.3 17.4 0.1 "" 11 5 30 5 1.13914512754 7.702 4819591916209544320 4208 167756732 81.125712 -38.969637 81.1259583333 -38.9698888889
ABDMG "LP 717-36" M3.5 5 25 41.67 - 9 9 12.3 40.0 5.0 -190.0 5.0 26.3 0.3 21.0 2.0 "" 14 31 14 9 0.312881798185 9.973 None 3349 24720349 81.4236 -9.1535 81.423625 -9.15341666667
ABDMG "AB Dor Aab" K2V 5 28 44.96 - 65 26 52.8 46.86 0.05 140.5 0.1 32.0 2.0 13.7 0.1 "" 32 5 20 30 2.33924416582 6.049 4660766258998862592 5128 149248196 82.186873 -65.448621 82.1873333333 -65.448
ABDMG "AB Dor Bab" M5Ve 5 28 44.47 - 65 26 46.3 "" "" "" "" "" "" "" "" [COMPANION] 33 - - - 0.022867081666 9.947 4660766641248248064 None 149248193 82.185279 -65.446198 82.1852916667 -65.4461944444
ABDMG "UY Pic" K0V 5 36 56.89 - 47 57 52.9 23.3 0.3 -1.2 0.2 32.2 0.2 24.5 0.1 "" 7 5 34 5 0.330525821362 7.019 4795598304748572544 5113 290716988 84.236905 -47.964687 84.2370416667 -47.9646944444
ABDMG "HIP 26369 B" K7 5 36 55.1 - 47 57 48.1 "" "" "" "" "" "" "" "" [COMPANION] 7 - - - 0.0261251135089 8.452 4795596827281131904 4090 290716990 84.229577 -47.963367 84.2295833333 -47.9633611111
ABDMG "HIP 26369 A" K7V 5 36 55.14 - 47 57 47.9 29.3 0.4 12.5 0.4 32.2 0.2 25.7 0.3 [COMPANION] 11 5 34 5 0.47206353415 8.452 4795596827281131904 4090 290716990 84.229577 -47.963367 84.22975 -47.9633055556
ABDMG "WX Col A" K1V 5 37 12.93 - 42 42 55.8 8.4 0.2 -10.1 0.2 30.5 0.3 80.0 1.0 "" 11 5 34 5 0.184320766508 8.852 4802947440468558464 5392 354571604 84.30386 -42.71545 84.303875 -42.7155
ABDMG "WX Col B" G7V 5 37 13.26 - 42 42 57.5 "" "" "" "" 30.8 0.4 "" "" [COMPANION] 11 - 34 - 0.449802773405 9.412 4802947440468558592 4385 354571603 84.305101 -42.715912 84.30525 -42.7159722222
ABDMG "CD-35 2722" M1Ve 6 9 19.2 - 35 49 31.9 -4.0 2.0 -57.0 2.0 31.4 0.4 22.1 0.2 "" 35 5 30 5 0.820000000088 9.151 2885863396053210496 3777 201426753 92.33 -35.8253 92.33 -35.8255277778
ABDMG "HD 45270 AB" G1V 6 22 30.92 - 60 13 6.2 -11.42 0.03 64.56 0.03 31.6 0.2 23.8 0.2 "" 30 5 20 5 1.01338083368 5.944 5481848419822114560 5913 150322340 95.62904 -60.218651 95.6288333333 -60.2183888889
ABDMG "AK Pic AB" G1.5V 6 38 0.37 - 61 32 0.2 -48.0 1.0 72.7 0.9 32.0 1.0 21.3 0.4 "" 7 16 36 16 0.0378540769807 6.478 None 5913 375034557 99.501525 -61.533382 99.5015416667 -61.5333888889
ABDMG "CD-61 1439 A" K7V 6 39 49.97 - 61 28 40.4 -27.0 0.1 74.96 0.09 30.5 0.7 22.1 0.1 "" 11 5 30 5 1.4521544438 8.36949 5479782643632182656 4190 375058105 99.958479 -61.478271 99.9582083333 -61.4778888889
ABDMG "CD-61 1439 B" K7 6 39 49.97 - 61 28 40.4 "" "" "" "" "" "" "" "" [COMPANION] 7 - - - 1.4521544438 8.36949 5479782643632182656 4190 375058105 99.958479 -61.478271 99.9582083333 -61.4778888889
