#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#__PGZ2001_, f__PGZ2001_, EWLi, u_EWLi, EWHa, u_EWHa, SpType, u_SpType, _RA, _DE, RA, DEC, MatchID, MatchRA, MatchDEC, pmRA, pmDEC, TESS Mag., Object Type, Source of Type, dstArcSec, Version, HIP, TYC ID, UCAC ID, 2MASS ID, SDSS ID, ALLWISE ID, GAIA ID, APASS ID, KIC ID, Source of Position, pmRA Err., pmDec Err., PM Flag, Parallax, Parallax Err., Source of Parallax, Gal. Long., Gal. Lat., Ecl. Long., Ecl. Lat., B Mag., B Mag. Err., V Mag., V Mag. Err., u Mag., u Mag. Err., g Mag., g Mag. Err., r Mag., r Mag. Err., i Mag., i Mag. Err., z Mag., z Mag. Err., J Mag., J Mag. Err., H Mag., H Mag. Err., K Mag., K Mag. Err., TWOMflag, prox, W1 Mag., W1 Mag. Err., W2 Mag., W2 Mag. Err., W3 Mag., W3 Mag. Err., W4 Mag., W4 Mag. Err., GAIA G Mag., GAIA G Mag. Err., TESS Mag. Err., TESS Flag, Stellar Properties Flag, T_eff, T_eff Err., log(g), log(g) Err., Metallicity, Metallicity Err., Stellar Radius, Stellar Radius Err., Stellar Mass, Stellar Mass Err., Stellar Density, Stellar Density Err., Luminosity Class from RPM, Stellar Luminosity, Stellar Luminosity Err., Distance, Distance Err., E(B-V), E(B-V) Err., Num. Sources in Aper., Contam. Ratio, Disposition, duplicate_id, priority
#@string, string, float, string, float, string, string, string, ra, dec, ra, dec, string, float, float, float, float, float, string, string, float, string, string, string, string, string, string, string, string, string, string, string, float, float, string, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, string, string, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, int, float, string, string, float
__PGZ2001_,f__PGZ2001_,EWLi,u_EWLi,EWHa,u_EWHa,SpType,u_SpType,_RA,_DE,RA,DEC,MatchID,MatchRA,MatchDEC,pmRA,pmDEC,Tmag,objType,typeSrc,dstArcSec,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,POSflag,e_pmRA,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority
b'160744.5-203602',b'',0.5,b'',-4.80000019073486,b'',b'M 4',b'',241.9354,-20.6006,241.9354,-20.6006,48866968,241.935389,-20.600859,-9.81234,-22.0658,11.878,STAR,2mass,0.933136528239281,20180610,,,347-077176,16074449-2036030,,J160744.48-203603.2,6244103478755645952,11475603,,tmgaia,2.14375,2.14373,hsoy,NaN,NaN,,352.966178,22.660741,243.871243,0.328821,16.482,0.146,15.015,0.069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.076,0.023,9.343,0.024,9.077,0.021,AAA-222-111-000-0-0,23.4,8.942,0.022,8.772,0.02,8.64,0.028,7.958,NaN,13.1043,0.000583262,0.017,gaiaj,,3192,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.354506,NaN,0,NaN,,,NaN
b'160418.2-191055',b'',0.759999990463257,b'',-0.5,b'',b'M 4',b'',241.0758,-19.1819,241.0758,-19.1819,9850738,241.075871,-19.182155,-9.98665,-20.1772,13.64,STAR,2mass,0.949211401066235,20180610,,,355-076747,16041821-1910557,,J160418.20-191055.9,6247322127247654784,8825369,,tmgaia,1.97628,1.97627,hsoy,NaN,NaN,,353.4884,24.221634,242.808285,1.568337,18.853,0.162,17.121,1.133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.741,0.023,11.006,0.025,10.719,0.022,AAA-222-111-000-0-0,38,10.572,0.023,10.366,0.02,10.209,0.073,8.282,NaN,14.9181,0.00146594,0.017,gaiaj,,2919,162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.306728,NaN,0,NaN,,,NaN
b'160815.3-203811',b'',0.569999992847443,b'',-1.89999997615814,b'',b'M 3',b'',242.0637,-20.6364,242.0637,-20.6364,48872481,242.063981,-20.636439,-11.4121,-22.3498,13.475,STAR,2mass,0.957045850121806,20180610,,,347-077247,16081535-2038111,,J160815.34-203811.4,6243914912513752704,,,tmgaia,1.98805,1.98801,hsoy,NaN,NaN,,353.0273,22.548638,243.996127,0.316343,18.172,0.162,16.501,0.149,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.705,0.023,11.025,0.024,10.679,0.019,AAA-222-111-000-0-0,12.2,10.582,0.024,10.391,0.021,10.434,0.106,8.766,NaN,14.6837,0.00129073,0.017,gaiaj,,3210,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.346201,NaN,0,NaN,,,NaN
b'161115.3-175721',b'',0.550000011920929,b'',-2.40000009536743,b'',b'M 1',b'',242.8137,-17.9558,242.8137,-17.9558,49165221,242.813926,-17.955957,-6.39356,-24.2149,11.709,STAR,2mass,0.958376325563556,20180610,,,361-075459,16111534-1757214,,J161115.33-175721.6,6249000566108106112,8835774,,tmgaia,2.23456,2.23456,hsoy,NaN,NaN,,355.697482,23.837994,244.198286,3.08131,15.665,0.084,14.229,0.114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.227,0.027,9.486,0.023,9.204,0.019,AAA-222-111-000-0-0,14,8.754,0.023,8.25,0.02,6.291,0.016,4.723,0.029,12.7507,0.000492631,0.018,gaiaj,,3370,161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.259569,NaN,0,NaN,,,NaN
b'160702.1-201938',b'',0.389999985694885,b'',-30,b'',b'M 5',b'',241.7587,-20.3272,241.7587,-20.3272,48794675,241.758827,-20.327439,12.0979,-16.0251,14.841,STAR,2mass,0.961298663597637,20180610,,,,16070211-2019387,1237674653155853006,J160702.10-201939.1,6244125331550161280,,,tmgaia,1.98813,1.98807,hsoy,NaN,NaN,,353.05936,22.968547,243.65744,0.566335,18.972,0.165,NaN,NaN,23.8521,1.39959,19.4496,0.01386,17.847,0.00672748,15.9375,0.00408296,14.6486,0.00455938,12.523,0.039,11.868,0.037,11.4,0.03,AAA-222-111-000-0-0,27.1,10.878,0.023,10.422,0.021,9.047,0.033,7.726,0.22,16.3274,0.00346011,0.02,gaiaj,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.309395,NaN,0,NaN,,,NaN
b'160959.4-180009',b'',1,b':',-4.90000009536743,b'',b'M 5',b'',242.4975,-18.0025,242.4975,-18.0025,49039044,242.49722,-18.002523,-11.4479,-24.7338,13.158,STAR,2mass,0.96222044332278,20180610,,,360-077870,16095933-1800090,,J160959.32-180009.3,6248997233214230016,8834065,,tmgaia,2.07038,2.07036,hsoy,NaN,NaN,,355.439256,24.030889,243.910248,2.980412,17.972,0.162,16.463,0.114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.306,0.022,10.623,0.022,10.343,0.023,AAA-222-111-000-0-0,21.6,10.142,0.023,9.8,0.021,7.483,0.018,4.684,0.027,14.411,0.00111748,0.017,gaiaj,,2986,163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.2665,NaN,0,NaN,,,NaN
b'161043.9-192225',b'',0.670000016689301,b'',-2.29999995231628,b'',b'M 3',b'',242.6829,-19.3736,242.6829,-19.3736,49078010,242.683006,-19.373855,-9.18954,-24.8741,12.627,STAR,2mass,0.986061931103282,20180610,,,354-076435,16104392-1922258,1237674654766596246,J161043.91-192226.0,6245756044732109184,8835066,,tmgaia,2.16424,2.1632,hsoy,NaN,NaN,,354.460797,22.979003,244.33494,1.664561,16.902,0.222,15.471,0.126,19.1785,0.0331564,16.1261,0.00381606,14.5458,0.00357415,16.8683,0.0160499,12.4566,0.0040629,11.006,0.026,10.177,0.024,9.934,0.024,AAA-222-111-000-0-0,37.7,9.826,0.024,9.702,0.022,9.721,0.055,8.198,NaN,13.7507,0.000799256,0.018,gaiaj,,3260,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.330413,NaN,0,NaN,,,NaN
b'160528.5-201037',b'',0.550000011920929,b'',-1.89999997615814,b'',b'M 1',b'',241.3687,-20.1769,241.3687,-20.1769,9921600,241.368868,-20.177126,-5.45141,-23.2768,12.633,STAR,2mass,0.992073811007597,20180610,,,350-078853,16052852-2010376,,J160528.53-201037.9,6244189034504483328,11470840,,tmgaia,1.97628,1.97627,hsoy,NaN,NaN,,352.905134,23.33778,243.269718,0.644626,16.602,0.113,15.181,0.172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.082,0.021,10.313,0.026,10.053,0.02,AAA-222-111-000-0-0,11.1,9.93,0.023,9.846,0.02,9.791,0.052,8.861,NaN,13.7166,0.000785892,0.017,gaiaj,,3345,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.299281,NaN,0,NaN,,,NaN
b'160802.4-202233',b'',0.600000023841858,b':',-6.09999990463257,b'',b'M 5',b'',242.01,-20.3758,242.01,-20.3758,48872203,242.009948,-20.376072,-14.5198,-32.5695,13.596,STAR,2mass,0.994800572652319,20180610,,,349-077855,16080238-2022338,1237674653155918901,J160802.37-202234.0,6244116638536293248,11476250,,tmgaia,1.98803,1.98801,hsoy,NaN,NaN,,353.195715,22.763573,243.897839,0.562701,19.466,NaN,17.186,0.275,20.8828,0.103821,17.9993,0.00658003,16.3597,0.00406593,14.4309,0.00358483,13.3516,0.00416629,11.583,0.024,10.945,0.024,10.618,0.023,AAA-222-111-000-0-0,15.2,10.416,0.022,10.174,0.02,10.009,0.063,8.72,NaN,14.9337,0.00147864,0.017,gaiaj,,2880,162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.316145,NaN,0,NaN,,,NaN
b'161039.5-191652',b'',0.529999971389771,b'',-4.30000019073486,b'',b'M 2',b'',242.6646,-19.2811,242.6646,-19.2811,49078116,242.664857,-19.281243,-14.7869,-20.5896,13.11,STAR,2mass,1.01374592825986,20180610,,,354-076427,16103956-1916524,1237674654766531818,J161039.55-191652.7,6245757767016630016,8834967,,tmgaia,1.98873,1.98804,hsoy,NaN,NaN,,354.522587,23.054076,244.301169,1.752486,17.369,NaN,16.069,0.217,18.8843,0.0276224,16.5695,0.00392562,15.014,0.00354814,14.0216,0.000887252,12.9136,0.0041474,11.311,0.026,10.524,0.026,10.267,0.026,AAA-222-111-000-0-0,14.9,10.167,0.024,9.992,0.021,9.861,0.063,8.127,NaN,14.3335,0.00107339,0.018,gaiaj,,3213,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.405897,NaN,0,NaN,,,NaN
b'160357.9-194210',b'',0.349999994039536,b'',-3,b'',b'M 2',b'',240.9912,-19.7028,240.9912,-19.7028,9851348,240.991395,-19.703015,-11.4286,-23.125,12.979,STAR,2mass,1.01777464307792,20180610,,,352-076481,16035793-1942108,,J160357.92-194211.0,6247222209128096256,8824852,,tmgaia,1.97628,1.97627,hsoy,NaN,NaN,,353.014064,23.921505,242.830492,1.041888,17.032,0.11,15.972,0.229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.365,0.023,10.605,0.025,10.325,0.023,AAA-222-111-000-0-0,11.4,10.021,0.024,9.608,0.021,7.817,0.021,6.234,0.069,14.0984,0.000951482,0.017,gaiaj,,3240,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.270182,NaN,0,NaN,,,NaN
b'160245.4-194604',b'',0.300000011920929,b':',0.699999988079071,b'',b'M 2',b'',240.6892,-19.7678,240.6892,-19.7678,9741480,240.689431,-19.767618,7.44862,3.67466,14.671,STAR,2mass,1.02065768114582,20180610,,,352-076366,16024546-1946034,1237674653155328219,J160245.41-194603.6,6247173727538593792,,,tmgaia,2.04227,1.97628,hsoy,NaN,NaN,,352.748189,24.082643,242.564139,0.923415,18.518,0.162,15.306,1.133,20.9987,0.111829,18.0817,0.00678577,16.4983,0.00406938,15.2266,0.00370233,14.4909,0.0043874,13.034,0.026,12.28,0.025,12.044,0.027,AAA-222-111-000-0-0,9.5,11.748,0.023,11.67,0.023,11.566,0.286,8.649,NaN,15.8045,0.00246251,0.018,gaiaj,,4051,165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN
b'160936.5-184800',b'',1,b':',-10,b':',b'M 5',b'',242.4021,-18.8,242.4021,-18.8,49038262,242.40221,-18.800264,NaN,NaN,13.52,STAR,2mass,1.02166030851721,20180610,,,356-077740,16093653-1848009,,J160936.52-184801.0,6248795163590830848,,,tmgaia,NaN,NaN,,NaN,NaN,,354.727322,23.561647,243.96862,2.179713,17.87,0.162,16.776,0.195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.539,0.024,10.757,0.022,10.282,0.021,AAA-222-111-000-0-0,5.4,9.671,0.024,9.14,0.02,7.437,0.019,5.215,0.044,14.8415,0.0014057,0.017,gaiaj,,2897,162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,0.94363,NaN,0,NaN,,,NaN
b'160735.5-202713',b'',0.75,b'',-4.90000009536743,b'',b'M 5',b'',241.8979,-20.4536,241.8979,-20.4536,48867140,241.898167,-20.453739,NaN,NaN,14.984,STAR,2mass,1.03028282585102,20180610,,,,16073556-2027134,,J160735.55-202713.5,,,,2mass,NaN,NaN,,NaN,NaN,,353.056553,22.786878,243.80945,0.466811,19.959,0.162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.926,0.024,12.317,0.027,11.961,0.026,AAA-222-111-000-0-0,7.7,11.727,0.022,11.481,0.02,11.539,0.256,8.881,0.482,NaN,NaN,0.172,bpjk,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,0.32227,NaN,0,NaN,,,NaN
b'160916.8-183522',b'',0.550000011920929,b'',-3,b'',b'M 2',b'',242.32,-18.5894,242.32,-18.5894,48961358,242.320199,-18.58962,-9.17719,-24.0218,12.343,STAR,2mass,1.0432336209432,20180610,,,358-077498,16091684-1835226,1237674655303139376,J160916.84-183522.9,6248907210697659776,8833017,,tmgaia,2.14373,2.14372,hsoy,NaN,NaN,,354.840099,23.760985,243.853281,2.372389,16.548,0.057,15.027,0.012,17.9446,0.0189831,16.0959,0.00451857,14.3412,0.00297922,13.1153,0.00259585,12.8085,0.00464621,10.724,0.024,9.93,0.022,9.674,0.022,AAA-222-111-000-0-0,18,9.555,0.023,9.453,0.02,9.368,0.057,8.781,0.482,13.4657,0.000694737,0.017,gaiaj,,3296,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.902616,NaN,0,NaN,,,NaN
b'161010.4-194539',b'',0.490000009536743,b'',-5.59999990463257,b'',b'M 3',b'',242.5433,-19.7608,242.5433,-19.7608,49040985,242.543373,-19.761082,-16.4607,-21.727,13.14,STAR,2mass,1.04489245750014,20180610,,,352-077353,16101041-1945398,1237674654229726424,J161010.40-194540.0,6245669045877514112,8834330,,tmgaia,1.98802,1.98801,hsoy,NaN,NaN,,354.05436,22.814472,244.276451,1.259794,17.668,0.162,16.185,0.114,19.5359,0.0401691,16.833,0.00436507,15.2785,0.00370021,13.8108,0.00375943,12.9479,0.00431306,11.38,0.023,10.683,0.024,10.406,0.021,AAA-222-111-000-0-0,25.6,10.274,0.023,10.099,0.02,9.939,0.063,8.364,NaN,14.3431,0.00107874,0.017,gaiaj,,3217,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.289831,NaN,0,NaN,,,NaN
b'160900.7-190852',b'',0.529999971389771,b'',-12.6999998092651,b'',b'K 9',b'',242.2529,-19.1478,242.2529,-19.1478,48913936,242.253162,-19.147953,-5.91977,-23.688,11.69,STAR,2mass,1.04751755117187,20180610,,,355-077273,16090075-1908526,1237674654766399590,J160900.75-190852.9,6245777279052122240,8832593,,tmgaia,2.14373,2.14372,hsoy,NaN,NaN,,354.343903,23.430832,243.894323,1.811961,15.323,0.127,14.161,0.114,16.4882,0.009888,15.5225,0.00586861,15.3996,0.0124487,15.0439,0.0124734,12.7664,0.00661388,10.22,0.023,9.475,0.026,9.154,0.027,AAA-222-111-000-0-0,6.5,8.696,0.022,8.444,0.019,6.168,0.015,3.622,0.022,12.7254,0.000486763,0.017,gaiaj,,3375,161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.24458,NaN,0,NaN,,,NaN
b'160210.9-200749',b'',0.649999976158142,b'',-3.5,b'',b'M 5',b'',240.5454,-20.1303,240.5454,-20.1303,9674277,240.545666,-20.13045,-9.08705,-23.1768,14.319,STAR,2mass,1.04880147005895,20180610,,,,16021096-2007495,,J160210.95-200749.8,6247113288758025472,,,tmgaia,1.97629,1.97627,hsoy,NaN,NaN,,352.359246,23.92879,242.502412,0.541185,19.456,0.161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.385,0.021,11.766,0.025,11.416,0.023,AAA-222-111-000-0-0,20.9,11.279,0.022,11.034,0.019,11.138,0.173,8.689,NaN,15.616,0.00219288,0.017,gaiaj,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.245065,NaN,0,NaN,,,NaN
b'160643.8-190805',b'',0.649999976158142,b'',-3.79999995231628,b'',b'K 6',b'',241.6825,-19.1347,241.6825,-19.1347,161834230,241.682739,-19.134899,-8.60144,-22.1312,11.483,STAR,2mass,1.08350129205496,20180610,,,355-077000,16064385-1908056,1237674654229266793,J160643.85-190805.8,6248768740952946816,8829065,,tmgaia,2.1466,2.14659,hsoy,NaN,NaN,,353.955118,23.835438,243.362251,1.723998,14.954,0.044,13.471,0.092,17.1269,0.0123464,14.9717,0.00534528,12.8603,0.00208437,12.0954,0.00113977,12.2,0.00552673,10.137,0.024,9.398,0.024,9.195,0.021,AAA-222-111-000-0-0,8.5,9.008,0.022,8.859,0.021,8.114,0.023,6.79,0.09,12.441,0.000425518,0.018,gaiaj,,3592,162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.203302,NaN,0,NaN,,,NaN
b'160800.5-204028',b'',0.340000003576279,b'',-5.19999980926514,b'',b'M 5',b'',242.0021,-20.6744,242.0021,-20.6744,48866903,242.002148,-20.674702,NaN,NaN,14.327,STAR,2mass,1.09915495936573,20180610,,,,16080051-2040289,,J160800.49-204029.1,,,,2mass,NaN,NaN,,NaN,NaN,,352.954217,22.564648,243.946422,0.267959,19.168,0.162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.325,0.023,11.686,0.026,11.327,0.019,AAA-222-111-000-0-0,9,11.073,0.024,10.815,0.021,10.432,0.1,8.202,0.263,NaN,NaN,0.168,bpjk,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,0.345941,NaN,0,NaN,,,NaN
b'160449.9-203835',b'',0.649999976158142,b'',-7.80000019073486,b'',b'M 5',b'',241.2079,-20.6431,241.2079,-20.6431,9915882,241.208217,-20.643173,-11.3481,-25.659,13.964,STAR,2mass,1.09978871409975,20180610,,,347-076877,16044997-2038353,,J160449.96-203835.7,6244065992282776320,,,tmgaia,1.97629,1.97627,hsoy,NaN,NaN,,352.424723,23.125684,243.210986,0.158396,19.054,0.162,15.53,1.133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.951,0.024,11.274,0.024,10.939,0.022,AAA-222-111-000-0-0,22.7,10.801,0.023,10.518,0.021,10.395,0.102,8.88,NaN,15.3017,0.00182037,0.017,gaiaj,,3453,165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.260873,NaN,0,NaN,,,NaN
b'160350.4-194121',b'',0.589999973773956,b'',-4.90000009536743,b'',b'M 5',b'',240.96,-19.6892,240.96,-19.6892,9847505,240.960303,-19.689313,-9.73228,-20.2213,13.398,STAR,2mass,1.10465677513262,20180610,,,352-076464,16035047-1941214,,J160350.46-194121.7,6247222106048893952,8824678,,tmgaia,1.97629,1.97627,hsoy,NaN,NaN,,353.002872,23.952164,242.799119,1.049682,18.562,0.162,16.546,1.133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.578,0.022,10.853,0.023,10.593,0.021,AAA-222-111-000-0-0,12.8,10.506,0.023,10.319,0.022,10.172,0.068,8.852,NaN,14.6335,0.0012565,0.017,gaiaj,,3190,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.281941,NaN,0,NaN,,,NaN
b'160531.3-192623',b'',0.579999983310699,b'',-8.80000019073486,b'',b'M 5',b'',241.3804,-19.4397,241.3804,-19.4397,48667313,241.380373,-19.440006,NaN,NaN,14.412,STAR,2mass,1.10540666222232,20180610,,,,16053128-1926240,,J160531.28-192624.2,,,,2mass,NaN,NaN,,NaN,NaN,,353.498382,23.835648,243.139829,1.370296,19.073,0.162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.505,0.028,11.902,0.026,11.521,0.028,AAA-222-111-000-0-0,26.4,11.321,0.023,11.073,0.021,10.712,0.116,8.905,NaN,NaN,NaN,0.164,bpjk,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,0.231599,NaN,0,NaN,,,NaN
b'160716.0-204443',b'',0.680000007152557,b'',-3.59999990463257,b'',b'M 4',b'',241.8167,-20.7453,241.8167,-20.7453,48795135,241.816957,-20.745493,-10.217,-23.3565,13.274,STAR,2mass,1.10965819937262,20180610,,,347-077132,16071607-2044437,,J160716.06-204444.0,6244006446855995904,11474659,,tmgaia,1.98802,1.98801,hsoy,NaN,NaN,,352.769768,22.642252,243.789521,0.165976,18.913,0.162,16.423,0.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.424,0.027,10.687,0.023,10.373,0.021,AAA-222-111-000-0-0,28.9,10.235,0.024,10.058,0.021,9.881,0.066,8.209,0.317,14.5263,0.00118708,0.018,gaiaj,,3176,159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.411969,NaN,0,NaN,,,NaN
b'160707.7-192715',b'',0.569999992847443,b'',-5,b'',b'M 2',b'',241.7821,-19.4542,241.7821,-19.4542,48793721,241.781968,-19.454483,-16.6607,-30.3329,12.391,STAR,2mass,1.11297786049886,20180610,,,353-078412,16070767-1927161,,J160707.67-192716.4,6247244268081439232,8829715,,tmgaia,2.14373,2.14372,hsoy,NaN,NaN,,353.769291,23.54917,243.514514,1.42779,16.413,0.091,15.214,0.126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.755,0.026,10.042,0.024,9.803,0.024,AAA-222-111-000-0-0,5.9,9.611,0.023,9.464,0.02,9.334,0.041,8.37,0.328,13.5242,0.000714893,0.018,gaiaj,,3284,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.223147,NaN,0,NaN,,,NaN
b'160954.4-190654',b'',0.699999988079071,b'',-3.09999990463257,b'',b'M 1',b'',242.4767,-19.115,242.4767,-19.115,49037928,242.476716,-19.115311,-14.7972,-22.6628,12.174,STAR,2mass,1.12092200417073,20180610,,,355-077378,16095441-1906551,1237674654766465097,J160954.40-190655.3,6245775561063728128,8833949,,tmgaia,2.14619,2.14391,hsoy,NaN,NaN,,354.525558,23.297171,244.095979,1.883031,16.248,0.044,14.541,0.137,18.122,0.0193038,15.506,0.00401354,14.0797,0.00747834,16.8935,0.018569,12.1885,0.00397921,10.65,0.026,9.866,0.023,9.599,0.021,AAA-222-111-000-0-0,33.8,9.472,0.023,9.386,0.02,9.237,0.043,8.87,0.538,13.2411,0.000622981,0.018,gaiaj,,3391,161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.38818,NaN,0,NaN,,,NaN
b'160341.8-200557',b'',0.300000011920929,b':',-2.20000004768372,b'',b'M 2',b'',240.9242,-20.0992,240.9242,-20.0992,9847026,240.924466,-20.099394,-13.2611,-24.6813,12.038,STAR,2mass,1.13862563017038,20180610,,,350-078626,16034187-2005577,,J160341.86-200557.9,6247104939341680256,11467054,,tmgaia,2.14569,2.14568,hsoy,NaN,NaN,,352.652937,23.693656,242.845296,0.640817,16.118,0.037,14.499,0.043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.485,0.021,9.759,0.022,9.487,0.021,AAA-222-111-000-0-0,29.2,9.374,0.022,9.275,0.02,9.169,0.036,8.667,0.455,13.1225,0.000588377,0.017,gaiaj,,3373,161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.245725,NaN,0,NaN,,,NaN
