St,_2MASS,Rmag,Kmag,pmRA,pmDE,SpT1,mbol,DMph,DMkin,RV,vsini,SpT,EWHa,EWLi,Mm,u_Mm,n_Mm,f_Mm,Opt,Denis,_RA,_DE,RA,DEC
b'C',b'00421092-4252545',12.699999809265137,8.760000228881836,83.30000305175781,-43.70000076293945,b'M2.1',11.34000015258789,2.8299999237060547,3.5,8.699999809265137,6.199999809265137,b'M2.2',-5.239999771118164,-6.5,b'N',b'?',b'RV',b'',2.0,0.0,10.5455,-42.88181,10.5455,-42.88181
b'C',b'00425349-6117384',15.199999809265137,10.449999809265137,89.0,-55.20000076293945,b'M4.5',13.1899995803833,2.7300000190734863,3.200000047683716,6.900000095367432,7.099999904632568,b'M4.2',-6.75,79.30000305175781,b'Y',b'',b'RV',b'',2.0,1.0,10.72287,-61.294,10.72287,-61.294
b'C',b'00485254-6526330',13.800000190734863,9.550000190734863,82.30000305175781,-40.70000076293945,b'M3.2',12.220000267028809,2.9600000381469727,3.5,9.899999618530273,12.100000381469727,b'M3.2',-5.940000057220459,-59.29999923706055,b'Y',b'',b'RV',b'',2.0,1.0,12.21892,-65.4425,12.21892,-65.4425
b'C',b'00493566-6347416',12.100000381469727,8.430000305175781,86.9000015258789,-45.20000076293945,b'M1.8',10.979999542236328,2.630000114440918,3.299999952316284,8.100000381469727,5.5,b'M1.7',-3.380000114440918,-24.399999618530273,b'Y',b'',b'RV',b'',2.0,1.0,12.39858,-63.79489,12.39858,-63.79489
b'C',b'00502644-4628539',8.300000190734863,6.340000152587891,62.0,-36.900001525878906,b'K4.7',8.5,1.8600000143051147,4.099999904632568,13.600000381469727,5.900000095367432,b'K3.1',0.8399999737739563,18.299999237060547,b'N',b'',b'Li',b'',2.0,1.0,12.61017,-46.48164,12.61017,-46.48164
b'C',b'00514081-5913320',14.699999809265137,10.399999618530273,98.0,-50.29999923706055,b'M4.1',13.109999656677246,3.0799999237060547,3.0999999046325684,6.300000190734863,20.600000381469727,b'M4.4',-6.010000228881836,257.20001220703125,b'Y',b'',b'Li',b'',2.0,1.0,12.92004,-59.22556,12.92004,-59.22556
b'C',b'00555140-4938216',15.199999809265137,10.489999771118164,101.0,-56.099998474121094,b'M4.8',13.289999961853027,2.5,3.0999999046325684,18.200000762939453,14.899999618530273,b'M3.9',-5.880000114440918,-23.600000381469727,b'N',b'?',b'RV',b'',2.0,2.0,13.96417,-49.63933,13.96417,-49.63933
b'C',b'00590177-6054124',11.600000381469727,8.470000267028809,96.19999694824219,-32.29999923706055,b'M0.1',10.920000076293945,3.2799999713897705,3.299999952316284,10.199999809265137,4.400000095367432,b'M0.5',0.28999999165534973,-12.100000381469727,b'N',b'',b'H{alpha}',b'',2.0,1.0,14.75737,-60.90344,14.75737,-60.90344
b'C',b'01024375-6235344',13.100000381469727,8.800000190734863,89.0,-39.599998474121094,b'M3.8',11.460000038146973,1.7100000381469727,3.299999952316284,7.0,5.699999809265137,b'M2.9',-3.609999895095825,-3.9000000953674316,b'Y',b'',b'RV',b'3',2.0,1.0,15.68229,-62.59289,15.68229,-62.59289
b'C',b'01033563-5515561',14.199999809265137,9.239999771118164,100.30000305175781,-46.900001525878906,b'M5.1',12.100000381469727,0.9900000095367432,3.0999999046325684,7.300000190734863,19.200000762939453,b'M5.0',-18.709999084472656,-57.79999923706055,b'Y',b'',b'RV',b'',2.0,2.0,15.89846,-55.26558,15.89846,-55.26558
b'',b'01071194-1935359',,,,,b'',,,,9.300000190734863,6.800000190734863,b'M1.0',-2.490000009536743,323.29998779296875,b'Y',b'',b'Li',b'',2.0,1.0,16.79975,-19.59331,16.79975,-19.59331
b'C',b'01101448-4715453',15.100000381469727,11.15999984741211,66.30000305175781,-38.29999923706055,b'M4.7',13.9399995803833,3.259999990463257,3.9000000953674316,8.899999618530273,4.5,b'M2.0',0.3799999952316284,-35.70000076293945,b'N',b'',b'H{alpha}',b'',3.0,0.0,17.56033,-47.26258,17.56033,-47.26258
b'C',b'01125587-7130283',11.100000381469727,8.369999885559082,76.5999984741211,-30.700000762939453,b'K7.7',10.720000267028809,3.3299999237060547,3.5999999046325684,12.899999618530273,4.5,b'K7.3',0.5299999713897705,-6.800000190734863,b'N',b'',b'H{alpha}',b'',1.0,1.0,18.23279,-71.50786,18.23279,-71.50786
b'C',b'01134031-5939346',13.5,9.0600004196167,96.0,-35.400001525878906,b'M4.0',11.770000457763672,1.850000023841858,3.200000047683716,11.899999618530273,46.79999923706055,b'M3.7',-16.510000228881836,-14.300000190734863,b'Y',b'',b'RV',b'',2.0,0.0,18.41796,-59.65961,18.41796,-59.65961
b'C',b'01160045-6747311',15.5,10.890000343322754,66.69999694824219,-12.100000381469727,b'M4.2',13.609999656677246,3.4700000286102295,4.099999904632568,11.5,16.5,b'M4.1',-6.820000171661377,-49.29999923706055,b'Y',b'',b'RV',b'',2.0,1.0,19.00187,-67.79197,19.00187,-67.79197
b'C',b'01180670-6258591',15.5,10.640000343322754,109.9000015258789,-23.399999618530273,b'M4.8',13.449999809265137,2.6600000858306885,3.0,9.300000190734863,14.399999618530273,b'M5.1',-8.680000305175781,360.5,b'Y',b'',b'Li',b'',1.0,2.0,19.52792,-62.98308,19.52792,-62.98308
b'C',b'01211297-6117281',14.800000190734863,10.479999542236328,80.69999694824219,-28.299999237060547,b'M4.1',13.15999984741211,3.130000114440918,3.5999999046325684,8.699999809265137,21.899999618530273,b'M4.1',-6.769999980926514,1.2000000476837158,b'Y',b'',b'RV',b'',2.0,1.0,20.30404,-61.29114,20.30404,-61.29114
b'C',b'01211813-5434245',10.699999809265137,7.809999942779541,81.69999694824219,-42.79999923706055,b'K7.4',10.100000381469727,2.930000066757202,3.5,24.0,4.0,b'K5.0',0.6299999952316284,0.5,b'N',b'',b'H{alpha}',b'',2.0,1.0,20.32554,-54.57347,20.32554,-54.57347
b'C',b'01224511-6318446',13.300000190734863,8.979999542236328,94.5,-29.0,b'M3.3',11.630000114440918,2.2899999618530273,3.299999952316284,7.800000190734863,16.899999618530273,b'M3.5',-6.630000114440918,52.099998474121094,b'Y',b'',b'RV',b'',3.0,1.0,20.68796,-63.31239,20.68796,-63.31239
b'C',b'01233280-4113110',15.300000190734863,9.920000076293945,109.30000305175781,-54.79999923706055,b'M5.6',12.760000228881836,1.1200000047683716,2.9000000953674316,5.699999809265137,12.699999809265137,b'M4.2',-5.550000190734863,-41.20000076293945,b'Y',b'',b'RV',b'',2.0,1.0,20.88667,-41.21972,20.88667,-41.21972
b'C',b'01245895-7953375',9.199999809265137,7.139999866485596,74.80000305175781,-20.600000381469727,b'K3.8',9.25,2.75,3.700000047683716,170.6999969482422,4.800000190734863,b'F9.5',1.2300000190734863,25.299999237060547,b'N',b'',b'Li',b'',2.0,4.0,21.24562,-79.89375,21.24562,-79.89375
b'C',b'01253196-6646023',14.699999809265137,10.109999656677246,89.0999984741211,-28.399999618530273,b'M4.5',12.859999656677246,2.390000104904175,3.4000000953674316,7.099999904632568,41.099998474121094,b'M4.2',-4.920000076293945,-38.0,b'Y',b'',b'RV',b'',4.0,1.0,21.38317,-66.76731,21.38317,-66.76731
b'C',b'01275875-6032243',14.600000381469727,10.220000267028809,88.4000015258789,-30.799999237060547,b'M4.0',12.90999984741211,2.990000009536743,3.4000000953674316,9.100000381469727,26.100000381469727,b'M4.2',-7.579999923706055,24.799999237060547,b'Y',b'',b'RV',b'',2.0,1.0,21.99479,-60.54008,21.99479,-60.54008
b'C',b'01283025-4921094',14.899999618530273,9.710000038146973,101.4000015258789,-41.70000076293945,b'M4.0',12.399999618530273,2.4800000190734863,3.0999999046325684,6.5,59.900001525878906,b'M4.1',-7.710000038146973,19.100000381469727,b'Y',b'',b'RV',b'',2.0,1.0,22.12604,-49.35261,22.12604,-49.35261
b'C',b'01301454-2949175',15.199999809265137,10.25,161.6999969482422,-87.4000015258789,b'M5.3',13.069999694824219,1.75,2.0999999046325684,24.899999618530273,4.900000095367432,b'M2.3',0.23999999463558197,4.800000190734863,b'N',b'',b'H{alpha}',b'',2.0,0.0,22.56058,-29.82153,22.56058,-29.82153
b'C',b'01321522-5034307',15.300000190734863,10.710000038146973,71.5,-32.099998474121094,b'M4.0',13.420000076293945,3.5,3.799999952316284,23.399999618530273,11.5,b'M2.2',-0.38999998569488525,37.29999923706055,b'N',b'',b'H{alpha}',b'',2.0,1.0,23.06342,-50.57519,23.06342,-50.57519
b'C',b'01344601-5707564',16.299999237060547,11.15999984741211,68.19999694824219,-18.799999237060547,b'M4.6',13.970000267028809,3.4000000953674316,4.0,11.100000381469727,26.0,b'M4.9',-20.43000030517578,526.0999755859375,b'Y',b'',b'Li',b'',1.0,0.0,23.69171,-57.13233,23.69171,-57.13233
b'C',b'01351393-0712517',12.5,8.079999923706055,97.69999694824219,-51.5,b'M4.1',10.789999961853027,0.7599999904632568,3.200000047683716,8.199999809265137,27.299999237060547,b'M3.8',-10.300000190734863,-13.800000190734863,b'Y',b'',b'RV',b'',2.0,1.0,23.80804,-7.21436,23.80804,-7.21436
b'C',b'01372781-4558261',15.100000381469727,10.1899995803833,116.0,-37.099998474121094,b'M5.4',13.0600004196167,1.6299999952316284,2.9000000953674316,13.5,8.5,b'M5.0',-6.610000133514404,249.39999389648438,b'Y',b'',b'Li',b'',2.0,1.0,24.36587,-45.97392,24.36587,-45.97392
b'C',b'01375879-5645447',14.100000381469727,9.529999732971191,92.5,-32.79999923706055,b'M3.8',12.210000038146973,2.450000047683716,3.299999952316284,8.5,9.800000190734863,b'M3.9',-8.829999923706055,-36.400001525878906,b'Y',b'',b'RV',b'',3.0,1.0,24.49496,-56.76242,24.49496,-56.76242
b'C',b'01380029-4603398',13.699999809265137,10.140000343322754,69.4000015258789,-20.399999618530273,b'M2.6',12.75,3.9200000762939453,4.0,11.600000381469727,4.099999904632568,b'M2.4',-0.44999998807907104,-16.399999618530273,b'N',b'',b'H{alpha}',b'',2.0,1.0,24.50121,-46.06106,24.50121,-46.06106
b'C',b'01380311-5904042',13.100000381469727,9.0,100.9000015258789,-27.399999618530273,b'M3.2',11.670000076293945,2.4100000858306885,3.0999999046325684,10.100000381469727,8.600000381469727,b'M3.1',-13.300000190734863,-35.099998474121094,b'Y',b'',b'RV',b'',3.0,2.0,24.51296,-59.06783,24.51296,-59.06783
b'C',b'01504543-5716488',16.299999237060547,11.279999732971191,93.19999694824219,-37.0,b'M4.9',14.09000015258789,3.190000057220459,3.200000047683716,9.300000190734863,9.699999809265137,b'M5.5',-9.460000038146973,673.2000122070312,b'Y',b'',b'Li',b'',1.0,0.0,27.68929,-57.28022,27.68929,-57.28022
b'C',b'01505688-5844032',12.600000381469727,8.640000343322754,91.30000305175781,-24.899999618530273,b'M2.9',11.289999961853027,2.259999990463257,3.299999952316284,11.100000381469727,10.100000381469727,b'M3.0',-6.380000114440918,-17.5,b'Y',b'',b'RV',b'',2.0,1.0,27.737,-58.73422,27.737,-58.73422
b'C',b'01521830-5950168',11.699999809265137,8.140000343322754,107.80000305175781,-27.0,b'M1.6',10.65999984741211,2.4100000858306885,3.0,10.300000190734863,5.0,b'M1.6',-3.0199999809265137,-12.300000190734863,b'Y',b'',b'RV',b'',2.0,1.0,28.07625,-59.838,28.07625,-59.838
