designation,RA,DEC,glon,glat,w1mpro,w2mpro,w3mpro,w4mpro,pmra,pmdec,j_m_2mass,h_m_2mass,k_m_2mass,ra_2,raerr,dec_2,decerr,nobs,mobs,vjmag,bjmag,gmag,rmag,imag,evjmag,ebjmag,egmag,ermag,eimag,name,Separation
J170200.64-801220.2,255.5026769,-80.2056297,312.3317563,-22.3190688,10.059,10.078,9.989,8.857,4,27,10.758,10.195,10.108,255.502482,0.478,-80.205606,0.349,8,35,12.65,13.579,13.069,12.308,11.948,0.049,0.027,0.021,0.072,0.055,20132853,0.14671685210036353
J120935.19-800144.3,182.3966568,-80.0289825,301.0445142,-17.3108492,10.561,10.555,10.37,8.78,54,10,11.289,10.753,10.651,182.39674,0.227,-80.028988,0.144,4,20,13.318,14.285,13.773,12.97,12.684,0.059,0.074,0.016,0.04,0.036,20162871,0.05551300719208672
J152414.98-832731.4,231.0624507,-83.4587422,307.2873858,-21.9218781,10.792,10.787,10.624,8.988,-44,-34,11.477,10.979,10.839,231.0626,0.124,-83.458724,0.103,4,20,13.306,14.238,13.754,12.991,12.662,0.046,0.028,0.044,0.064,0.092,20162889,0.0896764745233865
J154601.52-833039.9,236.5063569,-83.5111019,307.7698469,-22.3511538,12.209,12.22,11.754,8.875,-144,122,12.852,12.395,12.38,236.509622,0.438,-83.511773,0.596,2,10,13.974,14.783,14.368,13.741,13.407,0.012,0.008,0.021,0.006,0.006,20162889,2.757035276292465
J152700.33-835046.2,231.7514032,-83.8461856,307.1029313,-22.2778291,10.93,10.949,10.915,9.352,-138,-1,11.656,11.098,10.997,231.751315,0.132,-83.846192,0.14,4,20,13.387,14.362,13.875,13.063,12.684,0.006,0.052,0.025,0.033,0.064,20162889,0.04110220459101439
J154339.94-831819.5,235.9164498,-83.3054328,307.861576,-22.1519639,11.374,11.406,11.463,8.429,-18,-52,12.124,11.601,11.539,235.917231,0.36,-83.305155,0.485,2,10,13.997,14.892,14.416,13.69,13.178,0.027,0.026,0,0.008,0.008,20162889,1.0524497440538414
J170707.57-781756.2,256.7815765,-78.2989478,314.2255364,-21.5407295,10.112,10.12,10.015,8.83,-69,-45,10.856,10.285,10.208,256.781445,0.119,-78.298939,0.137,7,17,12.775,13.662,13.188,12.452,12.158,0.017,0.01,0,0.013,0.091,20132853,0.10109979661901426
J173616.07-793350.2,264.0669704,-79.5639581,313.6975801,-23.3599711,10.859,10.862,10.715,8.821,16,-54,11.572,11.055,10.948,264.067184,0.146,-79.563986,0.109,3,13,13.321,14.203,13.721,13.01,12.713,0,0.019,0.005,0.021,0.014,20132854,0.17172424797184108
J170326.38-792351.4,255.8599268,-79.3976113,313.1127923,-21.9537064,11.509,11.522,11.373,9.077,25,12,12.169,11.688,11.598,255.859896,0.246,-79.397576,0.165,8,34,13.893,14.68,14.249,13.623,13.317,0.035,0.021,0.018,0.035,0.054,20132853,0.12870715364720303
J130028.52-514438.9,195.1188433,-51.744163,304.3573127,11.1026411,11.989,11.991,12.151,9.241,12,25,12.585,12.131,12.063,195.118954,0.421,-51.744138,0.569,4,18,13.99,14.716,14.322,13.763,13.593,0.005,0.05,0.005,0.01,0.055,20162376,0.262654100821915
