Name,m_Name,H09,logg,Teff,Fbol,__Fe_H_,__a_Fe_,RV,ageMLP,M.MLP,SimbadName,RA,DEC
b'HD 10472',b'',b'H09',4.309999942779541,6775.0,2.328600068324249e-08,-0.23999999463558197,0.10000000149011612,,0.30000001192092896,1.309999942779541,b'HD 10472',25.099999999999994,-60.99888888888889
b'HD 10678',b'',b'H09',4.510000228881836,5660.0,1.2190000120426703e-08,0.07999999821186066,-0.03999999910593033,15.600000381469727,0.10000000149011612,0.9800000190734863,b'HD 10678',25.654166666666665,-58.41305555555555
b'HD 10863',b'',b'H09',4.28000020980835,6931.0,7.119899692042964e-08,-0.09000000357627869,0.019999999552965164,5.0,0.5,1.409999966621399,b'HD 10863',26.504166666666663,-27.34861111111111
b'HD 10887',b'',b'H09',4.519999980926514,5714.0,4.199499858970057e-09,0.03999999910593033,-0.03999999910593033,-4.099999904632568,0.10000000149011612,0.9800000190734863,b'HD 10887',26.332916666666662,-56.10777777777778
b'HD 11699',b'',b'H09',4.260000228881836,6685.0,1.8525000200497743e-08,0.05999999865889549,-0.03999999910593033,18.399999618530273,0.8999999761581421,1.3700000047683716,b'HD 11699',28.70166666666666,-6.5922222222222215
b'HD 11850',b'',b'H09',4.550000190734863,5621.0,2.033299928427823e-08,0.029999999329447746,-0.03999999910593033,1.5,0.10000000149011612,0.9399999976158142,b'HD 11850',29.196666666666662,23.051111111111112
b'HD 12110',b'',b'H09',4.670000076293945,5035.0,8.581800159390696e-09,-0.30000001192092896,-0.019999999552965164,8.699999809265137,0.10000000149011612,0.7599999904632568,b'HD 12110',27.991249999999997,-81.01916666666666
b'HD 12783',b'',b'H09',4.550000190734863,5677.0,9.449600213429221e-09,-0.029999999329447746,-0.019999999552965164,22.799999237060547,0.10000000149011612,0.9599999785423279,b'HD 12783',31.329583333333332,0.3227777777777778
b'HD 12786',b'',b'H09',4.550000190734863,5314.0,2.2966000656765573e-08,-0.14000000059604645,0.0,10.399999618530273,0.4000000059604645,0.8600000143051147,b'HD 12786',31.247083333333332,-15.678055555555554
b'HD 12800',b'',b'H09',4.409999847412109,6134.0,6.307300282060169e-08,-0.2199999988079071,0.10000000149011612,0.6000000238418579,0.10000000149011612,1.090000033378601,b'HD 12800',32.28416666666666,71.55194444444444
b'HD 12846',b'',b'H09',4.510000228881836,5741.0,4.8387001072569547e-08,-0.20000000298023224,0.11999999731779099,-5.099999904632568,0.20000000298023224,0.9800000190734863,b'HD 12846',31.62583333333333,24.333888888888886
b'HD 13060',b'',b'H09',4.559999942779541,5266.0,8.176900045953062e-09,0.27000001072883606,-0.10000000149011612,30.399999618530273,0.10000000149011612,0.9100000262260437,b'HD 13060',30.196666666666665,-80.5325
b'HD 13829',b'',b'H09',4.400000095367432,6126.0,2.4063000481078234e-08,-0.07000000029802322,0.009999999776482582,-11.899999618530273,0.4000000059604645,1.1100000143051147,b'HD 13829',34.35666666666666,65.26194444444444
b'HD 14290',b'',b'H09',4.309999942779541,6766.0,1.780700031872584e-08,-0.11999999731779099,0.09000000357627869,,0.20000000298023224,1.350000023841858,b'HD 14290',34.69166666666666,7.705555555555556
b'HD 15361',b'',b'H09',4.550000190734863,5693.0,1.0145999596034017e-08,-0.10000000149011612,0.029999999329447746,4.699999809265137,0.10000000149011612,0.9599999785423279,b'HD 15361',37.095416666666665,1.481388888888889
b'HD 15507',b'',b'H09',4.460000038146973,5816.0,9.27239973691485e-09,0.12999999523162842,-0.03999999910593033,18.299999237060547,0.20000000298023224,1.059999942779541,b'HD 15507',37.12,-45.022777777777776
b'HD 15559',b'',b'H09',4.269999980926514,6982.0,5.1120000676974087e-08,-0.18000000715255737,0.09000000357627869,,0.5,1.409999966621399,b'HD 15559',38.05,55.45805555555556
b'HD 15563',b'',b'H09',4.369999885559082,6241.0,1.4104999834785303e-08,0.05000000074505806,-0.03999999910593033,2.700000047683716,0.4000000059604645,1.1799999475479126,b'HD 15563',37.680416666666666,21.030833333333334
b'HD 15672',b'',b'H09',4.320000171661377,6632.0,2.114700059507868e-08,-0.019999999552965164,0.009999999776482582,,0.30000001192092896,1.3300000429153442,b'HD 15672',38.02833333333333,34.67805555555555
b'HD 15851',b'',b'H09',4.460000038146973,5655.0,1.2046999842141304e-08,0.09000000357627869,-0.03999999910593033,8.899999618530273,0.10000000149011612,0.9800000190734863,b'HD 15851',38.89791666666667,61.10611111111111
b'HD 16707',b'',b'H09',4.389999866485596,6202.0,1.093599966139891e-08,-0.09000000357627869,0.019999999552965164,-9.199999809265137,0.4000000059604645,1.1299999952316284,b'HD 16707',40.22666666666666,8.240277777777777
b'HD 16752',b'',b'H09',4.420000076293945,6189.0,1.2489000056348232e-08,-0.5099999904632568,0.23000000417232513,2.700000047683716,0.5,1.059999942779541,b'HD 16752',40.15666666666666,-21.578611111111112
b'HD 16979',b'',b'H09',4.320000171661377,6585.0,1.4368000122999547e-08,-0.05999999865889549,0.0,-8.0,0.6000000238418579,1.2799999713897705,b'HD 16979',41.19541666666667,45.59916666666667
b'HD 17207',b'',b'H09',4.369999885559082,6358.0,3.663700098854861e-08,-0.25999999046325684,0.12999999523162842,7.900000095367432,0.20000000298023224,1.159999966621399,b'HD 17207',41.25416666666666,-22.16638888888889
b'HD 17338',b'',b'H09',4.400000095367432,6180.0,1.3930000264394948e-08,-0.1599999964237213,0.05999999865889549,-1.2000000476837158,0.4000000059604645,1.1100000143051147,b'HD 17338',41.69624999999999,-5.829166666666667
b'HD 17390',b'',b'H09',4.239999771118164,6903.0,6.501699800764982e-08,0.10000000149011612,-0.029999999329447746,7.199999809265137,0.699999988079071,1.4600000381469727,b'HD 17390',41.68791666666666,-21.639444444444443
b'HD 17970',b'',b'H09',4.590000152587891,5095.0,1.8310000626797773e-08,-0.15000000596046448,0.019999999552965164,64.9000015258789,0.20000000298023224,0.8100000023841858,b'HD 17970',43.08166666666666,-33.45055555555556
b'HD 18102',b'',b'H09',4.480000019073486,5540.0,5.5901998585738966e-09,0.10999999940395355,-0.05000000074505806,0.8999999761581421,0.10000000149011612,0.9399999976158142,b'HD 18102',42.942499999999995,-60.255
b'HD 18123',b'',b'H09',4.5,5585.0,8.624800429402057e-09,-0.2199999988079071,0.10000000149011612,4.5,0.4000000059604645,0.9100000262260437,b'HD 18123',44.30708333333333,58.36027777777778
b'HD 18916',b'',b'H09',4.53000020980835,5706.0,1.7713000843855298e-08,-0.20999999344348907,0.10000000149011612,-51.5,0.10000000149011612,0.9599999785423279,b'HD 18916',46.10375,50.032222222222224
b'HD 19034',b'',b'H09',4.519999980926514,5585.0,1.6872000685452804e-08,-0.3499999940395355,0.20000000298023224,-20.5,0.10000000149011612,0.9100000262260437,b'HD 19034',45.91208333333333,-5.666111111111111
