HIP,Memb,Simbad,_RA,_DE,RA,DEC
76143.0,51.0,b'Simbad',233.28964,-24.49042,233.28964,-24.49042
76234.0,73.0,b'Simbad',233.58689,-39.3492,233.58689,-39.3492
76297.0,91.0,b'Simbad',233.7852,-41.16676,233.7852,-41.16676
76310.0,69.0,b'Simbad',233.81711,-25.73417,233.81711,-25.73417
76371.0,74.0,b'Simbad',233.97187,-44.95839,233.97187,-44.95839
76395.0,78.0,b'Simbad',234.04735,-33.0928,234.04735,-33.0928
76501.0,50.0,b'Simbad',234.36631,-32.48503,234.36631,-32.48503
76591.0,64.0,b'Simbad',234.63599,-39.1607,234.63599,-39.1607
76600.0,53.0,b'Simbad',234.66404,-29.77775,234.66404,-29.77775
76633.0,89.0,b'Simbad',234.75024,-19.73256,234.75024,-19.73256
76875.0,89.0,b'Simbad',235.47174,-34.88886,235.47174,-34.88886
76945.0,85.0,b'Simbad',235.67093,-34.71041,235.67093,-34.71041
76997.0,62.0,b'Simbad',235.82165,-35.24334,235.82165,-35.24334
77038.0,88.0,b'Simbad',235.9485,-35.47503,235.9485,-35.47503
77086.0,83.0,b'Simbad',236.09448,-41.81909,236.09448,-41.81909
77124.0,56.0,b'Simbad',236.22184,-18.75097,236.22184,-18.75097
77144.0,79.0,b'Simbad',236.25763,-40.84194,236.25763,-40.84194
77150.0,90.0,b'Simbad',236.27652,-35.1019,236.27652,-35.1019
77286.0,84.0,b'Simbad',236.68424,-34.68245,236.68424,-34.68245
77295.0,74.0,b'Simbad',236.71517,-36.93685,236.71517,-36.93685
77317.0,67.0,b'Simbad',236.7757,-35.51804,236.7757,-35.51804
77347.0,56.0,b'Simbad',236.84721,-25.86771,236.84721,-25.86771
77388.0,78.0,b'Simbad',236.96317,-38.26001,236.96317,-38.26001
77399.0,59.0,b'Simbad',237.01374,-25.21561,237.01374,-25.21561
77432.0,87.0,b'Simbad',237.10326,-42.61806,237.10326,-42.61806
77502.0,62.0,b'Simbad',237.38329,-31.26112,237.38329,-31.26112
77520.0,90.0,b'Simbad',237.41515,-38.77748,237.41515,-38.77748
77545.0,84.0,b'Simbad',237.49911,-25.15099,237.49911,-25.15099
77562.0,70.0,b'Simbad',237.52952,-53.20977,237.52952,-53.20977
77635.0,89.0,b'Simbad',237.74477,-25.7513,237.74477,-25.7513
77815.0,79.0,b'Simbad',238.34136,-21.97129,238.34136,-21.97129
77840.0,51.0,b'Simbad',238.40299,-25.32714,238.40299,-25.32714
77858.0,83.0,b'Simbad',238.47465,-24.53316,238.47465,-24.53316
77859.0,75.0,b'Simbad',238.48277,-23.9781,238.48277,-23.9781
77900.0,82.0,b'Simbad',238.62546,-27.33864,238.62546,-27.33864
77909.0,71.0,b'Simbad',238.66471,-25.24374,238.66471,-25.24374
77911.0,83.0,b'Simbad',238.67332,-22.76625,238.67332,-22.76625
77960.0,86.0,b'Simbad',238.82327,-23.36771,238.82327,-23.36771
77968.0,59.0,b'Simbad',238.84535,-44.52601,238.84535,-44.52601
78043.0,83.0,b'Simbad',239.02345,-36.89287,239.02345,-36.89287
78099.0,88.0,b'Simbad',239.19939,-23.18407,239.19939,-23.18407
78104.0,82.0,b'Simbad',239.22115,-29.21407,239.22115,-29.21407
78150.0,84.0,b'Simbad',239.36884,-50.26966,239.36884,-50.26966
78183.0,88.0,b'Simbad',239.45334,-23.5273,239.45334,-23.5273
