Title: Memberships of the open cluster NGC 6405 based on a combined method: 
       Gaussian mixture model and random forest 
Authors: Gao X.
Table: A catalogue of fundamental information for 518 likely cluster members 
    with PRF >= 0.6
================================================================================
Byte-by-byte Description of file: ajaad690t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1- 19 I19    ---   Gaia   Gaia DR2 identifier
  21- 35 F15.11 deg   RAdeg  Gaia DR2 Right Ascension, decimal degrees (J2000)
  37- 51 F15.11 deg   DEdeg  Gaia DR2 Declination, decimal degrees (J2000)
  53- 57 F5.3   ---   PRF    RF membership probability
--------------------------------------------------------------------------------
4054971292371855488 264.78462209642 -32.15192382883 0.983 
4054975213684315776 264.98764305402 -32.10064363338 0.983 
4054305576753931648 265.54580383869 -32.15114403542 0.983 
4054973220809775488 264.97279693930 -32.17916349460 0.983 
4054980054105295360 264.94752821997 -31.99562272009 0.983 
4054302243859009024 265.44473360779 -32.20318412079 0.982 
4054210705218216832 264.98474940263 -32.43847812456 0.982 
4054992561049716608 264.79407292488 -31.97008346073 0.981 
4054296123512410496 265.44848618946 -32.33633898365 0.981 
4054315025681743360 265.35118873498 -32.15221419716 0.981 
4054216241472615296 265.09112875374 -32.39125217400 0.981 
4055069840392593024 265.12781834986 -32.02516378142 0.980 
4054298842244868352 265.44357354331 -32.27294802973 0.980 
4054248986261753216 265.51146962936 -32.36764497474 0.980 
4054211431109395328 264.96785599193 -32.39898361465 0.980 
4054303961845984384 265.43404311319 -32.09562388805 0.980 
4054301900261607040 265.43549911405 -32.23768988570 0.979 
4054215176321030912 264.88019956449 -32.35126067961 0.979 
4054224109853070848 265.00839776945 -32.17284285860 0.979 
4054216924317604736 265.09038573317 -32.35170148493 0.979 
4054309837361241856 265.44627312451 -32.09293557437 0.978 
4054298429927963776 265.55563073847 -32.24478628041 0.978 
4054217061756589568 265.11620696858 -32.33421298684 0.978 
4055072245582521728 265.23326620623 -31.90944470705 0.978 
4054972636694200576 264.92391515482 -32.22614352454 0.977 
4054993145165677568 264.85213657896 -31.91020173892 0.977 
4054215176321032064 264.87978944290 -32.35091334583 0.977 
4054210194158646016 265.03993072349 -32.44537359845 0.977 
4054303205932031360 265.37698255017 -32.17058442052 0.976 
4055070355788689024 265.02941337437 -32.03963930228 0.976 
4055075647196710784 264.96310696356 -31.87374027454 0.975 
4054218917197752576 265.24128189312 -32.27846198630 0.975 
4054974934504146048 265.01670176522 -32.12700094312 0.975 
4054315128760961664 265.35639148145 -32.14178956281 0.975 
4055075952134376576 265.07956465444 -31.88497151899 0.974 
4054203803247095296 265.21300158870 -32.43761349566 0.974 
4054215279400279552 264.83497168771 -32.35498854241 0.973 
4054990194521378048 264.72214616021 -32.06144182332 0.973 
4054296711940851456 265.38158914206 -32.34091229497 0.973 
4054206650770852736 265.19993205298 -32.32235543699 0.973 
4054296127805590528 265.44547859585 -32.34081225486 0.973 
4054216580720150528 265.11874193699 -32.38941637406 0.972 
4054322138147929216 265.47158212891 -32.04030913551 0.971 
4054204112484818304 265.14674548904 -32.44553668980 0.969 
4054321927674331776 265.39903560738 -32.04576261147 0.969 
4054966245792551040 264.78571615090 -32.31298319235 0.969 
4054973083380460288 264.95051300513 -32.20280502904 0.969 
4054219020261790080 265.23308021303 -32.25690494761 0.968 
4054305160122432896 265.54919332829 -32.20081843077 0.967 
4054223422658215168 265.13946720761 -32.16395601971 0.967 
