Star,P2,P1,Gaia,TYC,HIP,RAJ2000,DEJ2000,Gmag,Jmag,RAVE,Group,Size,Np,_2M,SimbadName,RA,DEC
1943.0,0.0,1.0,5.584489651343388e+18,b'7651-2025-1',,112.296227,-41.273831,11.666000366210938,10.517999649047852,b'20061227_0720m40_131',1421.0,2.0,1.0,b'2M',b'TYC 7651-2025-1',112.296227,-41.273831
1944.0,2.0,45.0,5.161911598688947e+16,b'1261-1630-1',,58.37032,20.907178,11.553000450134277,10.095999717712402,b'',0.0,151.0,3465.0,b'2M',b'TYC 1261-1630-1',58.37032,20.907178
1945.0,0.0,1.0,4.478849654991648e+18,b'458-475-1',,278.362372,7.430301,9.420000076293945,8.515000343322754,b'',1422.0,2.0,1.0,b'2M',b'TYC 458-475-1',278.362372,7.430301
1946.0,1.0,0.0,4.478849654991648e+18,b'458-1502-1',,278.358589,7.418121,9.548999786376953,8.619000434875488,b'',1422.0,2.0,1.0,b'2M',b'TYC 458-1502-1',278.358589,7.418121
1947.0,2.0,13.0,5.167491620170534e+16,b'1261-1415-1',,58.883173,21.079283,10.843000411987305,9.62399959564209,b'',0.0,151.0,3465.0,b'2M',b'TYC 1261-1415-1',58.883173,21.079283
1948.0,2.0,30.0,5.169474177073715e+16,b'1261-24-1',,59.590162,21.257481,11.180000305175781,9.937999725341797,b'',0.0,151.0,3465.0,b'2M',b'TYC 1261-24-1',59.590162,21.257481
1949.0,0.0,1.0,5.17171099609769e+16,b'1261-83-1',,59.313189,21.515593,11.420000076293945,10.119000434875488,b'',1423.0,2.0,1.0,b'2M',b'TYC 1261-83-1',59.313189,21.515593
1950.0,0.0,1.0,4.802862056519129e+18,b'7609-252-1',,85.158265,-43.468702,10.532999992370605,9.140999794006348,b'20090123_0532m42_128',1424.0,2.0,1.0,b'2M',b'TYC 7609-252-1',85.158265,-43.468702
1951.0,1.0,0.0,4.802863602707355e+18,b'7609-32-1',,85.180378,-43.444442,10.605999946594238,,b'20080209_0532m42_134',1424.0,2.0,1.0,b'2M',b'TYC 7609-32-1',85.180378,-43.444442
1952.0,3.0,41.0,5.174246744774822e+16,b'',18266.0,58.616054,21.389549,10.713000297546387,9.60099983215332,b'',0.0,151.0,3465.0,b'2M',b'HIP 18266',58.616054,21.389549
1953.0,3.0,1.0,5.186142086186445e+16,b'',19367.0,62.230862,20.385791,9.232000350952148,8.378000259399414,b'',0.0,151.0,3465.0,b'2M',b'HIP 19367',62.230862,20.385791
1954.0,1.0,0.0,5.4407401883300736e+17,b'4334-1506-1',,50.212003,72.639202,11.847000122070312,10.770000457763672,b'',1378.0,2.0,1.0,b'2M',b'TYC 4334-1506-1',50.212003,72.639202
1955.0,1.0,2.0,5.188481984342656e+16,b'1258-868-1',,61.309823,20.139249,8.317999839782715,7.2870001792907715,b'',29.0,9.0,15.0,b'2M',b'TYC 1258-868-1',61.309823,20.139249
1956.0,0.0,1.0,5.701922337910216e+18,b'',42011.0,128.438874,-23.35486,6.984000205993652,5.947000026702881,b'',1425.0,2.0,1.0,b'2M',b'HIP 42011',128.438874,-23.35486
1957.0,4.0,2.0,5.191488461449574e+16,b'',19176.0,61.661688,20.303037,9.375,8.479000091552734,b'',29.0,9.0,15.0,b'2M',b'HIP 19176',61.661688,20.303037
1958.0,0.0,1.0,5.366479069900755e+18,b'8197-122-1',,159.492442,-46.33274,10.79800033569336,10.17199993133545,b'',1426.0,2.0,1.0,b'2M',b'TYC 8197-122-1',159.492442,-46.33274
1959.0,0.0,1.0,6.806484984666007e+18,b'',102018.0,310.093879,-24.119245,7.0289998054504395,6.105999946594238,b'',1427.0,2.0,1.0,b'2M',b'HIP 102018',310.093879,-24.119245
1960.0,1.0,1.0,6.253868619480419e+18,b'6193-751-1',,234.924213,-20.133581,8.64900016784668,7.63700008392334,b'20070813_1539m19_092',153.0,3.0,2.0,b'2M',b'TYC 6193-751-1',234.924213,-20.133581
1961.0,0.0,1.0,1.0439069539376812e+18,b'4131-1098-1',,134.168317,63.510602,11.133000373840332,9.880999565124512,b'',1428.0,2.0,1.0,b'2M',b'TYC 4131-1098-1',134.168317,63.510602
1962.0,0.0,1.0,3.004124289757021e+18,b'5366-1071-1',,93.399987,-10.818259,8.557999610900879,8.121000289916992,b'',1429.0,2.0,1.0,b'2M',b'TYC 5366-1071-1',93.399987,-10.818259
1963.0,0.0,1.0,3.352552446493381e+18,b'759-1562-1',,102.5343,13.169859,9.1899995803833,8.303999900817871,b'',1430.0,2.0,1.0,b'2M',b'TYC 759-1562-1',102.5343,13.169859
1964.0,0.0,1.0,1.0440717776025533e+18,b'4130-2221-1',,130.914135,63.382041,9.29699993133545,8.574999809265137,b'',1431.0,2.0,1.0,b'2M',b'TYC 4130-2221-1',130.914135,63.382041
1965.0,1.0,0.0,5.835590413176428e+18,b'8718-1028-1',,240.449506,-58.082734,10.642000198364258,9.663000106811523,b'',897.0,2.0,1.0,b'2M',b'TYC 8718-1028-1',240.449506,-58.082734
1966.0,0.0,1.0,5.194842074989522e+18,b'9393-440-1',,117.017717,-82.033922,9.968000411987305,,b'',1432.0,2.0,1.0,b'2M',b'TYC 9393-440-1',117.017717,-82.033922
1967.0,1.0,1.0,5.869404140942539e+18,b'',64877.0,199.480569,-61.010857,8.343000411987305,7.622000217437744,b'',3.0,114.0,365.0,b'2M',b'HIP 64877',199.480569,-61.010857
1968.0,2.0,1.0,5.237798516882278e+16,b'1263-991-1',,63.023899,21.069627,9.753000259399414,8.85200023651123,b'',29.0,9.0,15.0,b'2M',b'TYC 1263-991-1',63.023899,21.069627
