RIK,_2MASS,EWLi,e_EWLi,EWHa,e_EWHa,SpT,AV,D,_2M,Simbad,RA,DEC
74.0,b'J16035175-2140154',0.550000011920929,0.03999999910593033,-14.199999809265137,0.6399999856948853,b'M6.0',0.699999988079071,0.0,b'2M',b'Simbad',240.965625,-21.670972222222222
75.0,b'J16035404-2509393',0.5899999737739563,0.05999999865889549,-7.550000190734863,0.3199999928474426,b'M5.5',0.20000000298023224,0.0,b'2M',b'Simbad',240.97520833333328,-25.160944444444443
76.0,b'J16040671-2637070',0.5199999809265137,0.029999999329447746,-4.269999980926514,0.03999999910593033,b'M1.5',0.6000000238418579,0.0,b'2M',b'Simbad',241.0279583333333,-26.61863888888889
77.0,b'J16041893-2430392',0.5699999928474426,0.019999999552965164,-24.079999923706055,0.3700000047683716,b'M2.5',0.30000001192092896,1.0,b'2M',b'Simbad',241.07887499999998,-24.510916666666667
78.0,b'J16052157-1821412',0.4699999988079071,0.019999999552965164,-37.959999084472656,0.15000000596046448,b'K4.5',1.0,1.0,b'2M',b'Simbad',241.33987499999995,-18.361444444444444
79.0,b'J16053815-2039469',0.5899999737739563,0.019999999552965164,-1.090000033378601,0.029999999329447746,b'M0.0',0.30000001192092896,0.0,b'2M',b'Simbad',241.40899999999996,-20.663055555555555
80.0,b'J16064385-1908056',0.5899999737739563,0.019999999552965164,-8.569999694824219,0.07000000029802322,b'M0.0',0.6000000238418579,1.0,b'2M',b'Simbad',241.68274999999997,-19.13486111111111
81.0,b'J16064794-1841437',0.49000000953674316,0.019999999552965164,-0.9200000166893005,0.03999999910593033,b'M0.0',0.30000001192092896,1.0,b'2M',b'Simbad',241.69975000000002,-18.6955
82.0,b'J16071403-1702425',0.7099999785423279,0.03999999910593033,-3.700000047683716,0.09000000357627869,b'M3.5',0.699999988079071,1.0,b'2M',b'Simbad',241.80841666666666,-17.045194444444448
83.0,b'J16073037-2546269',0.4399999976158142,0.009999999776482582,-2.819999933242798,0.029999999329447746,b'M1.5',0.5,0.0,b'2M',b'Simbad',241.87658333333331,-25.774166666666666
84.0,b'J16074006-2148426',0.5099999904632568,0.019999999552965164,-2.059999942779541,0.05000000074505806,b'M0.5',0.30000001192092896,0.0,b'2M',b'Simbad',241.91691666666662,-21.811861111111114
85.0,b'J16075136-1718231',0.5400000214576721,0.029999999329447746,-4.090000152587891,0.03999999910593033,b'M2.5',0.6000000238418579,0.0,b'2M',b'Simbad',241.96404166666665,-17.306444444444445
86.0,b'J16080141-2027416',0.6200000047683716,0.07999999821186066,-1.9299999475479126,0.18000000715255737,b'M0.0',0.8999999761581421,0.0,b'2M',b'Simbad',242.00591666666665,-20.461583333333333
87.0,b'J16080411-2640449',0.4699999988079071,0.05999999865889549,-7.809999942779541,0.5400000214576721,b'M0.5',0.0,0.0,b'2M',b'Simbad',242.01712499999994,-26.67913888888889
88.0,b'J16082078-2131234',0.699999988079071,0.03999999910593033,-5.619999885559082,0.1899999976158142,b'M4.5',0.699999988079071,0.0,b'2M',b'Simbad',242.08654166666662,-21.523166666666665
89.0,b'J16085628-2148489',0.5600000023841858,0.019999999552965164,-3.7100000381469727,0.029999999329447746,b'M1.5',0.5,0.0,b'2M',b'Simbad',242.23454166666662,-21.813583333333334
90.0,b'J16085695-2835573',0.20999999344348907,0.05999999865889549,-10.180000305175781,0.18000000715255737,b'M4.5',0.8999999761581421,0.0,b'2M',b'Simbad',242.2373333333333,-28.599277777777775
91.0,b'J16090051-2745194',0.800000011920929,0.18000000715255737,-11.25,0.6200000047683716,b'M5.5',1.100000023841858,0.0,b'2M',b'Simbad',242.25216666666662,-27.755388888888888
92.0,b'J16092063-2222057',0.5600000023841858,0.07999999821186066,-16.489999771118164,0.38999998569488525,b'M5.5',0.800000011920929,0.0,b'2M',b'Simbad',242.33595833333328,-22.36825
93.0,b'J16092969-2200579',0.5899999737739563,0.019999999552965164,-3.3399999141693115,0.029999999329447746,b'M1.5',0.699999988079071,0.0,b'2M',b'Simbad',242.37374999999994,-22.016111111111112
94.0,b'J16093030-2104589',0.49000000953674316,0.019999999552965164,-0.7599999904632568,0.029999999329447746,b'M0.0',0.30000001192092896,0.0,b'2M',b'Simbad',242.37629166666665,-21.083027777777776
